ts,prompt,operation,ok,llm_ms,onos_ms,verify_ms,total_ms,error
2025-12-12T17:41:58.747392+00:00,connect h1 and h2,connect_hosts,True,1069.792996000615,17.045219999999972,18.340169999646605,1105.3767449993757,
2025-12-12T17:41:59.853046+00:00,connect h1 and h3,connect_hosts,True,1001.2967790007679,17.25822399930621,18.429345000186004,1037.1593380004924,
2025-12-12T17:42:00.890444+00:00,list intents,list_intents,True,925.2181299998483,4.038106999360025,0.000853000528877601,929.4299230004981,
2025-12-12T17:42:01.820078+00:00,remove intents from h1 and h3,delete_intents_between_hosts,True,1170.5200239994156,31.405421999807004,16.29519000016444,1218.3986959989852,
2025-12-12T17:42:03.038713+00:00,remove intents from h1,delete_intents_between_hosts,True,1156.2760960005107,26.947934999043355,11.619705001066905,1195.033529000284,
2025-12-12T17:42:04.233927+00:00,connect h1 and h2,connect_hosts,True,997.8990270010399,15.6791350000276,17.298897000728175,1031.0868979995576,
2025-12-12T17:42:05.265226+00:00,connect h1 and h3,connect_hosts,True,1014.6699729993998,14.880671000355505,16.74061399899074,1046.4894430006098,
2025-12-12T17:42:06.311928+00:00,list intents,list_intents,True,924.9695210000937,4.112409998924704,0.0008509996405337006,929.2509440001595,
2025-12-12T17:42:07.241361+00:00,remove intents from h1 and h3,delete_intents_between_hosts,True,1182.3487840010785,36.62333699867304,17.74787900103547,1236.9195540013607,
2025-12-12T17:42:08.478505+00:00,remove intents from h1,delete_intents_between_hosts,True,1104.7200840002915,25.42080800049007,268.737456000963,1399.0714929987007,
2025-12-12T17:42:09.877786+00:00,connect h1 and h2,connect_hosts,True,996.3783410003089,14.144479999231407,16.286963000311516,1026.9911590003176,
2025-12-12T17:42:10.904990+00:00,connect h1 and h3,connect_hosts,True,1029.3719490000512,14.159463999021682,16.19796100021631,1059.9275680015126,
2025-12-12T17:42:11.965081+00:00,list intents,list_intents,True,912.8360979993886,3.629933000411256,0.0010290004865964875,916.6626330006693,
2025-12-12T17:42:12.881968+00:00,remove intents from h1 and h3,delete_intents_between_hosts,True,1166.3800490005087,30.901501999323955,14.34998099830409,1211.8419420003192,
2025-12-12T17:42:14.094002+00:00,remove intents from h1,delete_intents_between_hosts,True,1061.4491449996422,23.891853999884916,267.91795600001933,1353.4396710001602,
2025-12-12T17:42:15.447644+00:00,connect h1 and h2,connect_hosts,True,1003.072052000789,14.647859999968205,15.225139999529347,1033.1413179992524,
2025-12-12T17:42:16.480991+00:00,connect h1 and h3,connect_hosts,True,1006.1337089991866,16.81517100041674,16.815277998830425,1039.952296001502,
2025-12-12T17:42:17.521117+00:00,list intents,list_intents,True,915.467897999406,3.4871560001192847,0.0006919999577803537,919.1448300007323,
2025-12-12T17:42:18.440448+00:00,remove intents from h1 and h3,delete_intents_between_hosts,True,1177.9797639992466,28.14579000005324,14.075178998609772,1220.4012370002602,
2025-12-12T17:42:19.661048+00:00,remove intents from h1,delete_intents_between_hosts,True,1075.9732170008647,24.774945000899606,267.8542710000329,1368.8186069994117,
2025-12-12T17:42:21.030058+00:00,connect h1 and h2,connect_hosts,True,1001.578805000463,13.994917999298195,14.445676999457646,1030.3146919995925,
2025-12-12T17:42:22.060560+00:00,connect h1 and h3,connect_hosts,True,1007.6647860005323,17.38503500018851,16.408993000368355,1041.6732909998245,
2025-12-12T17:42:23.102500+00:00,list intents,list_intents,True,929.7730610014696,3.685614001369686,0.001345999407931231,933.6365449998993,
2025-12-12T17:42:24.036361+00:00,remove intents from h1 and h3,delete_intents_between_hosts,True,1174.9969350003084,28.684250999504002,14.718791999257519,1218.5792870004661,
2025-12-12T17:42:25.255175+00:00,remove intents from h1,delete_intents_between_hosts,True,1083.3619780005392,28.54021399980411,266.87388899881626,1378.9537039992865,
2025-12-12T17:42:26.634329+00:00,connect h1 and h2,connect_hosts,True,1009.2073449995951,12.333749000390526,13.7370029988233,1035.4645280003751,
2025-12-12T17:42:27.669996+00:00,connect h1 and h3,connect_hosts,True,1005.6069749989547,13.32454400107963,15.466756000023452,1034.5825889999105,
2025-12-12T17:42:28.704781+00:00,list intents,list_intents,True,927.4173750000045,3.554535000148462,0.0010119983926415443,931.1884119997558,
2025-12-12T17:42:29.636180+00:00,remove intents from h1 and h3,delete_intents_between_hosts,True,1186.0670239984756,28.131811999628553,14.64175500041165,1229.0228599995316,
2025-12-12T17:42:30.865352+00:00,remove intents from h1,delete_intents_between_hosts,True,1064.098415999979,23.561497999253334,267.2553029988194,1355.1059850015008,
