topology_label,hosts_count,run_id,prompt,operation,ok,error,total_ms,llm_ms,onos_ms,verify_ms
linear_3,3,1,connect h2 and h1,connect_hosts,True,,8479.513051999675,8440.45198400272,18.532458001573104,20.3453329995682
linear_3,3,2,connect h1 and h3,connect_hosts,True,,5598.707064000337,5559.866435000004,19.11584199842764,19.5470189974003
linear_3,3,3,connect h2 and h3,connect_hosts,True,,6884.8512999975355,6849.5916739993845,16.85483999972348,18.21644400115474
linear_3,3,4,connect h3 and h1,connect_hosts,True,,12210.44532200176,12177.670036999189,15.109449999727076,17.476627999712946
linear_3,3,5,connect h1 and h3,connect_hosts,True,,28043.670475002727,28010.349878000852,15.602891999151325,17.487097000412177
linear_3,3,6,connect h2 and h1,connect_hosts,True,,54410.15775699998,54378.06677899789,15.234700000291923,16.672319998178864
linear_3,3,7,connect h3 and h2,connect_hosts,True,,54902.27459800008,54871.37546700251,14.37829900169163,16.497452998009976
linear_3,3,8,connect h1 and h3,connect_hosts,True,,54911.21943899998,54877.67686100051,15.04456199836568,18.296515998372342
linear_3,3,9,connect h2 and h3,connect_hosts,True,,54900.362005002535,54870.93206899954,14.187417000357527,15.05702999929781
linear_3,3,10,connect h1 and h3,connect_hosts,True,,54909.727015998214,54880.71274499816,13.431548999506049,15.400543001305778
linear_3,3,11,list intents,list_intents,True,,51605.79713500192,51601.63313999874,3.9793229989300016,0.0
linear_3,3,12,list intents,list_intents,True,,51628.261375000875,51624.294080000254,3.7656919994333293,0.0
linear_3,3,13,list intents,list_intents,True,,51630.36363399806,51625.012929998775,5.075738998129964,0.0
linear_3,3,14,list intents,list_intents,True,,51618.789146999916,51614.69266700078,3.8750729981984477,0.0
linear_3,3,15,list intents,list_intents,True,,51627.87900599869,51623.83125300039,3.8612730022578035,0.0
linear_3,3,16,list intents,list_intents,True,,51640.26770900091,51635.69024000026,4.314494999562157,0.0
linear_3,3,17,list intents,list_intents,True,,51634.22032000017,51629.796318000444,4.236101998685626,0.0
linear_3,3,18,list intents,list_intents,True,,51633.44395400054,51628.62696400043,4.546175001451047,0.0
linear_3,3,19,list intents,list_intents,True,,51629.42932199803,51624.6265209993,4.542014998150989,0.0
linear_3,3,20,list intents,list_intents,True,,51635.02750199768,51631.077273999836,3.8271179982984904,0.0
linear_3,3,21,remove intents from h3 and h1,delete_intents_between_hosts,True,,54368.21037699701,54255.18610200015,98.27618599956622,14.552639997418737
linear_3,3,22,remove intents from h1 and h2,delete_intents_between_hosts,True,,53537.22762100006,53413.95330500018,108.00446500070393,14.986676997068571
linear_3,3,23,remove intents from h3,delete_intents_between_hosts,False,Verification failed for delete_intents_between_hosts ['h3'],52898.41955800148,52817.63922800019,71.0078079973755,9.511683998425724
linear_3,3,24,remove intents from h2,delete_intents_between_hosts,True,,52873.72035299995,52858.012656997744,7.628687999385875,7.893365000199992
linear_3,3,25,remove intents from h2,delete_intents_between_hosts,True,,53601.473130998784,53584.73491499899,8.072928001638502,8.43683299899567
linear_3,3,26,remove intents from h3 and h2,delete_intents_between_hosts,True,,54272.01878699998,54245.75777400241,13.23310599764227,12.840520997997373
linear_3,3,27,remove intents from h2 and h3,delete_intents_between_hosts,True,,54257.9095910005,54229.99054699903,14.6119679993717,13.106921000144212
linear_3,3,28,"remove intents from h3, h2 and h1",delete_intents_between_hosts,True,,56566.7485970007,56525.886321000144,20.314315999712562,20.26650699917809
linear_3,3,29,remove intents from h3,delete_intents_between_hosts,True,,53576.180116000614,53559.84073799846,8.206814996810863,7.935982997878455
linear_3,3,30,"remove intents from h1, h3 and h2",delete_intents_between_hosts,True,,56587.964179001574,56546.12434000228,20.832652000535745,20.81419399837614
linear_3,3,31,remove all intents,delete_all_intents,True,,52259.662289001426,52252.798997000355,3.5629810008686036,3.0824770001345314
linear_3,3,32,remove all intents,delete_all_intents,True,,52281.03186699809,52274.30017500228,3.1139019993133843,3.4278450002602767
linear_3,3,33,remove all intents,delete_all_intents,True,,52293.96595900107,52287.7589430027,3.0980689989519306,2.9247210004541557
linear_3,3,34,remove all intents,delete_all_intents,True,,52285.19662100007,52278.718026002025,3.162534998409683,3.1135550016188063
linear_3,3,35,remove all intents,delete_all_intents,True,,52275.66499200111,52269.144837002386,3.1674660021963064,3.1659040032536723
linear_3,3,36,remove all intents,delete_all_intents,True,,52288.13796000031,52281.36387599807,3.2632839975121897,3.305295998870861
linear_3,3,37,remove all intents,delete_all_intents,True,,52284.858611001255,52278.21034500084,3.4801580004568677,2.97602900172933
linear_3,3,38,remove all intents,delete_all_intents,True,,52278.649429001234,52271.40242700261,3.4037860023090616,3.6354299991216976
linear_3,3,39,remove all intents,delete_all_intents,True,,52282.4588830008,52275.95559200199,3.2552299999224488,3.0232600001909304
linear_3,3,40,remove all intents,delete_all_intents,True,,50646.39394899859,50639.99950500147,3.114361999905668,3.098165998380864
linear_6,6,1,connect h3 and h6,connect_hosts,True,,54303.37666899868,54277.83855499729,12.232196997501887,13.11752200126648
linear_6,6,2,connect h1 and h2,connect_hosts,True,,54917.93351999877,54891.583934000664,12.294554002437508,13.854487999196863
linear_6,6,3,connect h2 and h3,connect_hosts,True,,54914.222018000146,54888.59240999955,11.926479997782735,13.679356998181902
linear_6,6,4,connect h5 and h3,connect_hosts,True,,54915.178637998906,54890.22028199906,12.101025000447407,12.650361000851262
linear_6,6,5,connect h6 and h2,connect_hosts,True,,54912.32120700079,54886.3205389971,12.702200998319313,13.107489001413342
linear_6,6,6,connect h2 and h1,connect_hosts,True,,54901.59123400008,54875.99082000088,12.151525002991548,13.430140999844298
linear_6,6,7,connect h4 and h1,connect_hosts,True,,54905.953344998125,54879.34973300071,12.256773999979487,14.156855999317486
linear_6,6,8,connect h5 and h4,connect_hosts,True,,54902.769203999924,54878.301684999315,12.060623997967923,12.274988999706693
linear_6,6,9,connect h1 and h6,connect_hosts,True,,54922.004394000396,54894.724074001715,12.360511998849688,14.72797699898365
linear_6,6,10,connect h3 and h4,connect_hosts,True,,54913.77388500041,54887.60839399765,12.45165900036227,13.526246999390423
linear_6,6,11,list intents,list_intents,True,,51615.228128001036,51611.539901998185,3.4953009999298956,0.0
linear_6,6,12,list intents,list_intents,True,,51645.20830300171,51640.53539700035,4.49097199816606,0.0
linear_6,6,13,list intents,list_intents,True,,51637.02850700065,51633.29837799756,3.6290310017648153,0.0
linear_6,6,14,list intents,list_intents,True,,51640.131439999095,51636.449629997514,3.6125139995419886,0.0
linear_6,6,15,list intents,list_intents,True,,51639.93115000267,51636.484636001114,3.2559300016146153,0.0
linear_6,6,16,list intents,list_intents,True,,51642.479748999904,51638.88402500015,3.409345001273323,0.0
linear_6,6,17,list intents,list_intents,True,,51634.630455999286,51631.06896700265,3.53761500082328,0.0
linear_6,6,18,list intents,list_intents,True,,51640.64107399827,51637.18142799917,3.327980997710256,0.0
linear_6,6,19,list intents,list_intents,True,,51644.863452998834,51640.56197299942,3.993106998677831,0.0
linear_6,6,20,list intents,list_intents,True,,51640.0695730008,51636.22604199918,3.613677999965148,0.0
linear_6,6,21,remove intents from h1 and h6,delete_intents_between_hosts,True,,54307.42659899988,54266.35494900256,26.91192000202136,13.972153999930015
linear_6,6,22,"remove intents from h2, h6 and h1",delete_intents_between_hosts,True,,56602.00978899957,56521.25778499976,63.67729200064787,16.872978001629235
linear_6,6,23,remove intents from h4,delete_intents_between_hosts,False,Verification failed for delete_intents_between_hosts ['h4'],52943.376002996956,52851.7283129986,83.32363299996359,8.108799000183353
linear_6,6,24,remove intents from h3,delete_intents_between_hosts,False,Verification failed for delete_intents_between_hosts ['h3'],53647.19837899975,53552.27067699889,86.22597900102846,8.490251999319298
linear_6,6,25,remove intents from h3 and h6,delete_intents_between_hosts,True,,54251.02054300078,54225.8398390004,12.285576998692704,12.704626999038737
linear_6,6,26,"remove intents from h4, h2 and h3",delete_intents_between_hosts,True,,56562.312440000824,56528.59339299903,17.46047499909764,16.113631001644535
linear_6,6,27,remove intents from h4 and h5,delete_intents_between_hosts,True,,54252.410281002085,54229.25061699789,12.156876997323707,10.80442199963727
